,date,Focal Long,Focal Rival Short,allies Long,second rival Short,0,1,2,3
0,2007,AMGN,PFE,TECH,REGN,[0.32104956 0.42910017 0.24505495 0.00479532],[ 0.00427413  0.00146511 -0.00640259 -0.00025493],5.814293387120202,2.2262766669377387
1,2008,GILD,BMY,IART,AMGN,[0.16101578 0.4056994  0.13379081 0.29949401],[ 0.00519231  0.01920112 -0.00779288  0.00236679],6.69187515288192,2.712401247158237
2,2009,MRK,LLY,IART,BMY,[0.29009729 0.26734711 0.1595915  0.2829641 ],[ 0.00512884  0.01875733 -0.00890272  0.00244716],5.9021635376988355,2.282880874469949
3,2010,BMY,PFE,IART,LLY,[0.27798138 0.288956   0.16417908 0.26888355],[ 0.00508645  0.01784915 -0.00866415  0.00229401],4.788360478523846,2.299684382002766
4,2011,AMGN,ALXN,IDXX,BMY,[0.31692225 0.11435534 0.19301183 0.37571058],[ 0.0053991   0.02536441 -0.01062653  0.0036324 ],5.268609344657351,2.4558100456683665
5,2012,AMGN,ALXN,TECH,IMGN,[0.4189653  0.14226241 0.36176372 0.07700858],[ 0.00446147  0.0079016  -0.00923792  0.00111305],3.976231024966478,2.2165429610671645
6,2013,AMGN,BMY,PRGO,IMGN,[0.301166   0.33312302 0.2707126  0.09499838],[ 0.00454143  0.00768779 -0.00763045  0.0008132 ],4.290082392767726,2.0363298974740514
7,2014,PRGO,BMY,REGN,MYL,[0.29304307 0.34845947 0.06752683 0.29097062],[ 0.00517086  0.0181887  -0.00816816  0.00218662],5.505248937794358,2.5501616624638537
8,2015,MYL,BMRN,REGN,BMY,[0.32985625 0.22219814 0.05594123 0.39200439],[ 0.00547421  0.0248296  -0.00966034  0.00330359],5.70136794068145,2.6564919356675376
9,2016,REGN,BMY,PRGO,AMGN,[0.06534477 0.33183283 0.29268523 0.31013717],[ 0.00519941  0.02156222 -0.00861581  0.00297128],4.027739410658692,2.130068714878748
10,2017,MYL,PRGO,REGN,TEVA,[0.26828317 0.28639339 0.05641104 0.3889124 ],[ 0.00546899  0.02446868 -0.00911007  0.00319309],5.20288474110891,2.5978842641583233
